day,start time,duration,room name,track,title,participants
Fri,10:00 PM,1:00,William Dawes A,Literature,Arisia Reads!,"Genevieve Iseult Eldredge, Susan Hanniford Crowley, Walter Hunt, Tyler Stewart, Mark L Amidon"
Fri,10:00 PM,4:00,William Dawes B,Anime,Hentai and Yaoi Anime ,
Fri,10:55 PM,1:05,Haym Solomon,Media,Horrible Turn,
Fri,11:00 PM,0:30,President's CD,GOH,Q&A with Skinny White Chick,"S. J. Tucker, Kevin Wiley, Betsy Tinney"
Fri,11:00 PM,1:00,Room 201,Fan Interest,Newbies in Burlesque,Honey Suckle Duvet
Fri,11:00 PM,1:00,William Dawes A,Fan Interest,Fun With Rope,"D. Cameron Calkins, dkap"
Fri,11:15 PM,0:08,Molly Pitcher,Media,Home Movies from Anticipation,
Fri,11:25 PM,1:00,Molly Pitcher,Media,Cabinet of Dr. Caligari -- Silent Movie,
%Friday Late Night,,,,,,
Sat,12:00 AM,1:00,Crispus Attucks,Fan Interest,Tokyo's Media Shadow,"Marlin May, Israel Peskowitz, Michael A Horne, Felicitas Ivey, Timothy J Tero, Mark L Van Name"
Sat,12:00 AM,1:35,Haym Solomon,Media,Captain Eager and the Mark of Voth,
Sat,12:00 AM,4:00,Paul Revere AB,Music,Drum Circle,Angela K Bowen
Sat,12:00 AM,4:00,President's CD,Fan Interest,REPO! The Genetic Opera,
Sat,12:00 AM,23:59,Thomas Paine AB,Gaming,24-hour Open Gaming,
Sat,12:00 AM,1:00,William Dawes A,Literature,Reading - Cecilia Tan,Cecilia Tan
Sat,12:30 AM,2:00,President's A,Fan Interest,8-bit / Demoscene Dance,Michael Piantedosi
Sat,1:35 AM,1:25,Haym Solomon,Media,Sexy Killer,
Sat,2:00 AM,4:00,William Dawes B,Anime,Heavy Anime,
Sat,3:00 AM,0:30,Haym Solomon,Media,Dr. Terrible's House of Horrible ,
Sat,3:30 AM,1:35,Haym Solomon,Media,The Countess,
Sat,5:05 AM,1:45,Haym Solomon,Media,Dark City - Director's Cut,
%Saturday Morning,,,,,,
Sat,6:50 AM,0:15,Haym Solomon,Media,Thomas Alva Edison's Frankenstein,
Sat,7:00 AM,2:00,Molly Pitcher,Media,Saturday Serial Cereals ,
Sat,7:00 AM,0:55,Molly Pitcher,Media,Journey to Center of the Earth ,
Sat,7:05 AM,1:45,Haym Solomon,Media,First Men in the Moon,
Sat,8:00 AM,0:55,Molly Pitcher,Media,Rocky And Friends ,
Sat,9:00 AM,1:00,President's A,Fan Interest,Gentle Yoga,Jude Shabry
Sat,9:00 AM,2:00,Room 204,Costuming,Beading Workshop,"Carol Salemi, Lisa A Ashton"
Sat,10:00 AM,0:30,BU Suite (Regency Club),Literature,Reading - James D. Macdonald,James Macdonald
Sat,10:00 AM,1:00,Crispus Attucks,Fan Interest,Self-Healing 101,Wil Howitt
Sat,10:00 AM,1:00,Fast Track 1,Fast Track,Hand-held Gaming Club,
Sat,10:00 AM,2:00,Fast Track 2,Fast Track,Kamikaze Costuming,"Persis L Thorndike, Vonnie Carts-Powell, James Hinsey, Liz Cademy Pfeffer, Jill R. Singer, Sarah Goodman"
Sat,10:00 AM,1:00,Haym Solomon,Literature,Religion in SF/Fantasy,"Dawn Albright, Elaine Isaak, Genevieve Iseult Eldredge, Walter Hunt, JeffWarner"
Sat,10:00 AM,1:00,Molly Pitcher,Literature,Like Oil and Water,"Tom Murphy, John Costello, Ken Gale, Ken Kingsgrave-Ernstein"
Sat,10:00 AM,7:00,Other,Science,Heinlein Society Blood Drive,
Sat,10:00 AM,8:30,Other,Science,Bone Marrow Registry,
Sat,10:00 AM,1:00,Paul Revere A,Anime,Anime/Manga for Parents,"John C. Watson, Ed Fuqua, Peter Prellwitz, Elizabeth O'Malley, Brianna Spacekat Wu"
Sat,10:00 AM,1:30,Paul Revere B,Media,Fantastic Film Music Before Star Wars,Ray Worley
Sat,10:00 AM,1:00,President's CD,Costuming,Costume Friendly Tech,
Sat,10:00 AM,0:30,Room 201,Literature,Reading - Susan Hanniford Crowley,Susan Hanniford Crowley
Sat,10:00 AM,1:00,Room 204,Science,Education Center for Space Settlement,Bruce Mackenzie
Sat,10:00 AM,2:00,Thomas Paine AB,Gaming,CAV demo - table top game,Douglas Schaub
Sat,10:00 AM,2:00,Thomas Paine AB,Gaming,Greedquest - table top game,William Mui
Sat,10:00 AM,1:00,Thomas Paine AB,Gaming,Robo Rally - table top game,Clarence Risher
Sat,10:00 AM,1:00,William Dawes A,Media,Michael Crichton - The Anti-Arthur C. Clarke?,"Jeanne Cavelos, Terry Franklin, Resa Nelson, Daniel Miller"
Sat,10:00 AM,1:00,William Dawes B,Literature,Non-Standard Fantasy,"Greer Gilman, Debra Doyle, Sarah Smith, Sonya Taaffe, Daniel Rabuzzi"
Sat,10:30 AM,0:30,BU Suite (Regency Club),Literature,Reading - Gordon Linzner,Gordon Linzner
Sat,10:30 AM,0:30,Room 201,Literature,Reading - Martha Adams,Martha Adams
Sat,11:00 AM,0:30,BU Suite (Regency Club),Literature,Reading - Danielle Ackley-McPhail,Danielle Ackley-McPhail
Sat,11:00 AM,1:00,Charles View Ballroom,Art,Art Show Director's Docent Tour,"Nicholas ""phi"" Shectman"
Sat,11:00 AM,1:00,Crispus Attucks,GOH,The Editor/Writer Relationship,"Gardner Dozois, Jeanne Cavelos, David Nurenberg, Allen Steele, Joy Marchand"
Sat,11:00 AM,1:00,Haym Solomon,Literature,Exploring the Truly Alien,"Jeffrey A Carver, Howard G Beatman, dkap, Catt Kingsgrave-Ernstein, Steve Kanaras"
Sat,11:00 AM,1:00,Molly Pitcher,Literature,"The Changing Face of Fiction: Literature, Diversity, and Backlash","Julia Starkey, Adam Lipkin, Michael Kabongo, Woodrow ""asim"" Hill, Andrea  Hairston"
Sat,11:00 AM,1:00,Paul Revere A,Media,Where the Wild Things Are,"Marlin May, David Sklar, Eric M Van, Alexander Feinman, Garen Daly"
Sat,11:00 AM,0:30,President's A,Fan Interest,The Roman Legionary from Caesar to Constantine,
Sat,11:00 AM,0:30,Room 201,Literature,Reading - Resa Nelson,Resa Nelson
Sat,11:00 AM,1:00,William Dawes A,Media,The Happiest Place on Earth-616,"Ken Gale, Ed Fuqua, Jaime Garmendia, Daniel Miller, Everett Soares"
Sat,11:00 AM,1:00,William Dawes B,Literature,Non-Feudal Political Systems in Fantasy,"Michael Whitehouse, James L. Cambias, Phoebe Wray, Mary Catelli, Sarah Smith"
Sat,11:30 AM,0:30,BU Suite (Regency Club),Literature,Reading - Justine Graykin,Justine Graykin
Sat,11:30 AM,1:30,Paul Revere B,Literature,Broad Universe Reading,"Phoebe Wray, Susan Hamilton, Victoria Janssen, Trisha Wooldridge, Julie Andrews, Leadie Flowers, Renee Otis, Kerry Morgan, Roxanne Bland, Suzanne Reynolds-Alpert"
Sat,11:30 AM,0:30,President's A,Fan Interest,Jedi Lightsaber Techniques of the Sword Masters,
Sat,11:30 AM,0:30,Room 201,Literature,Reading - Daniel Rabuzzi,Daniel Rabuzzi
%Saturday Afternoon,,,,,,
Sat,12:00 PM,1:00,Charles View Ballroom,Art,Tactile Tour of Art Show,Fabrisse
Sat,12:00 PM,1:00,Crispus Attucks,Science,Science Fiction/Science Fact,"Wil Howitt, Alan Wexelblat, dkap, Mark L Amidon, Mitchell Morris"
Sat,12:00 PM,1:00,Fast Track 1,Fast Track,Face Painting,"Katherine Crighton, Jamila Sisco, Randee Dawn, Jennifer Hunter"
Sat,12:00 PM,1:00,Fast Track 2,Fast Track,No-Sew Costumes,"Dawn Albright, Sarah Goodman"
Sat,12:00 PM,1:00,Haym Solomon,GOH,Making Your Own Way,"James L. Cambias, Scott Lefton, Lori Del Genis, S. J. Tucker, Kevin Wiley"
Sat,12:00 PM,1:00,Molly Pitcher,Fan Interest,Sexual Politics in Fandom,"Rachel Sommer, Julia Starkey, Shira Lipkin, Catt Kingsgrave-Ernstein, Woodrow ""asim"" Hill"
Sat,12:00 PM,1:00,Paul Revere A,Media,1980s - The Silver Age of SF Movies?,"Michael Toole, Daniel M Kimmel, Resa Nelson, Garen Daly, Adam Lipkin"
Sat,12:00 PM,0:30,President's A,Fan Interest,Knightly Armored Combat,
Sat,12:00 PM,5:00,President's B,Gaming,Nexus Elements LARP,Dori Schendell
Sat,12:00 PM,5:00,President's CD,Costuming,Masquerade Tech Rehearsal,
Sat,12:00 PM,0:30,Room 201,Literature,Reading - Jaime Garmendia,Jaime Garmendia
Sat,12:00 PM,6:00,Thomas Paine AB,Gaming,Steve Jackson Games Tournament,Bill Todd
Sat,12:00 PM,2:00,Thomas Paine AB,Gaming,Warlord - table top game,Douglas Schaub
Sat,12:00 PM,3:00,Thomas Paine AB,Gaming,A Flight Out Back: Traveller,Benjamin A Pew
Sat,12:00 PM,5:00,Thomas Paine AB,Gaming,The Endless Party: Geist,Matt McFarland
Sat,12:00 PM,1:00,William Dawes A,Writing,Odyssey Writing Workshop Presentation,"Jeanne Cavelos, Elaine Isaak"
Sat,12:00 PM,1:00,William Dawes B,Literature,The Undefended Borders of SF,"Genevieve Iseult Eldredge, Christopher K. Davis, Mary Catelli, Ken Kingsgrave-Ernstein, Daniel Rabuzzi"
Sat,12:30 PM,0:30,BU Suite (Regency Club),Literature,Reading - Mark L Van Name ,Mark L Van Name
Sat,12:30 PM,0:30,President's A,Fan Interest,Medieval Halberd Drill,
Sat,12:30 PM,0:30,Room 201,Literature,Reading - Alexander Feinman,Alexander Feinman
Sat,1:00 PM,0:30,BU Suite (Regency Club),Literature,Reading - Esther Friesner,Esther Friesner
Sat,1:00 PM,1:00,Crispus Attucks,Music,Funniest Songs Sing-a-long,"Paul Estin, Benjamin Newman"
Sat,1:00 PM,1:00,Fast Track 1,Fast Track,Magic Show,Daniel P Dern
Sat,1:00 PM,1:00,Fast Track 2,Fast Track,Mask Making,"Susan de Guardiola, Mimi Noyes, Jennifer Hunter"
Sat,1:00 PM,1:00,Haym Solomon,Science,"Ask a Geek: Biology, Psychology, and Medicine","Karen Purcell DVM, Susan Weiner, Frank Wu, Dr. James Prego, Abby Hafer"
Sat,1:00 PM,1:00,Molly Pitcher,Media,Star Trek Reboot in Review,"James T Henderson Jr, Walter Hunt, Daniel M Kimmel, JeffWarner, Woodrow ""asim"" Hill"
Sat,1:00 PM,1:00,Paul Revere A,Fan Interest,Convention Feedback 1,"Samantha Dings, Crystal Huff, Richard Kovalcik, Jill Eastlake, Benjamin Levy, Michael Sprague, Noel Rosenberg"
Sat,1:00 PM,1:00,Paul Revere B,Media,FlashForward,"Cynthia A Shettle, Sarah Smith, Eric M Van, Resa Nelson, Beth Zuckerman"
Sat,1:00 PM,0:30,President's A,Fan Interest,Roman Legionary & Gothic Knight,
Sat,1:00 PM,1:00,Room 201,Fan Interest,Living Off the Grid,Tom Wysmuller
Sat,1:00 PM,1:00,Room 204,Art,Tools for Digital Art,"James A. Wolf, Onezumi, Dirk Tiede, James Harknell, Brianna Spacekat Wu"
Sat,1:00 PM,1:00,William Dawes A,Fan Interest,Poly 201: Theory and Practice,"Jonathan Woodward, Scott Lefton, Lori Del Genis, Darkteddybear, Calliope"
Sat,1:00 PM,1:00,William Dawes B,Fan Interest,Fannish Disaster Prepardness,"James Macdonald, Ken Kingsgrave-Ernstein, Starwolf"
Sat,1:30 PM,0:30,BU Suite (Regency Club),Literature,Reading - Shira Lipkin,Shira Lipkin
Sat,1:30 PM,0:30,President's A,Fan Interest,Pirate Combat!,
Sat,2:00 PM,0:30,BU Suite (Regency Club),Literature,Reading - Jennifer Pelland ,Jennifer Pelland
Sat,2:00 PM,1:00,Crispus Attucks,Literature,Jack the Ripper and the Historical Character,"Gardner Dozois, Katherine Crighton, Sarah Clemens, Victoria Janssen, Susan Casper"
Sat,2:00 PM,1:00,Fast Track 1,Fast Track,"Hands-On Science for Kids, Take 1","Stephen R Wilk, Ian Schleifer"
Sat,2:00 PM,1:00,Fast Track 2,Fast Track,Learn to Knit,"Dawn Albright, Barbara M Pugliese, Shana Fuqua, Liz Cademy Pfeffer"
Sat,2:00 PM,1:00,Haym Solomon,Science,"Ask a Geek: Physics, Chemistry, and Engineering","Tom Murphy, Vonnie Carts-Powell, Jeff Hecht, Mitchell Morris,  Ctein"
Sat,2:00 PM,1:00,Molly Pitcher,Fan Interest,Queer SF&F,"Meredith Schwartz, Felicitas Ivey, Dr. Jason S. Schneiderman, Andy Trembley"
Sat,2:00 PM,1:00,Paul Revere A,Literature,The Next -Punk,"Shariann Lewitt, Israel Peskowitz, Mario Di Giacomo, Alexander Jablokov, Sarah Smith"
Sat,2:00 PM,1:00,Paul Revere B,Media,Torchwood: What Now?,"Melissa Honig, Toni Lay, Brenna Levitin, Woodrow ""asim"" Hill, Honey Suckle Duvet"
Sat,2:00 PM,1:00,Room 201,Art,How Do You Price Your Art?,"Scott Lefton, Charlene Taylor D'Alessio, Kythryne Aisling"
Sat,2:00 PM,4:00,Thomas Paine AB,Gaming,Circus Maximus - D&D 3.5,Gregory Seidman
Sat,2:00 PM,4:00,Thomas Paine AB,Gaming,SRM03-03: Burning Bridges - table top game,Jonathan Riedel
Sat,2:00 PM,2:00,Thomas Paine AB,Gaming,Eclipse Phase demo - table top game,Jack Graham
Sat,2:00 PM,1:00,William Dawes A,Music,Filk 201: Circle Structure and Etiquette,"Ellen Kranzer, Hillary Sherwood, Catt Kingsgrave-Ernstein, Benjamin Newman"
Sat,2:00 PM,1:00,William Dawes B,Media,Fangs for the Memories,"Karen Purcell DVM, Misty Pendragon, Susan Hanniford Crowley, Mark L Amidon, Aimee Bouchard"
Sat,2:30 PM,0:30,BU Suite (Regency Club),Literature,Reading - Debra Doyle ,Debra Doyle
Sat,2:30 PM,1:00,Other,Fan Interest,Summit Mt. Arisia,Jude Shabry
Sat,3:00 PM,2:00,BU Suite (Regency Club),Literature,Elaine Isaak's Three Party,Elaine Isaak
Sat,3:00 PM,1:00,Fast Track 1,Fast Track,Bedtime Stories That End Badly,Daniel P Dern
Sat,3:00 PM,1:00,Fast Track 2,Fast Track,Gimp Basics,"Barbara M Pugliese, Jamila Sisco"
Sat,3:00 PM,1:00,Haym Solomon,Science,"Ask a Geek: Sociology,  Language and Culture","John Costello, Alexander Feinman, Ken Kingsgrave-Ernstein"
Sat,3:00 PM,1:00,Molly Pitcher,GOH,SMOF 399: Online Media and Conventions,"Nicholas ""phi"" Shectman, Stephanie Clarkson, Robert Hafner, Andy Trembley"
Sat,3:00 PM,1:00,Paul Revere A,Media,"Remakes, Reboots and Reimaginings, Oh My!","Jeffrey A Carver, Tony Finan, Lauren Grover, Daniel M Kimmel, Frank Wu"
Sat,3:00 PM,1:00,Paul Revere B,GOH,Diversity Is Coming!,"Julia Starkey, Cecilia Tan, Candra Gill, Nnedi Okorafor"
Sat,3:00 PM,1:00,President's A,Music,Concert -- Modern Mythpunk and Fantasy Folk Rock,"S. J. Tucker, Kevin Wiley, Betsy Tinney"
